iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,test_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,9/23/2020,39145,71,41.429,1446,2,1.429,1005.57,1.824,1.064,37.145,0.051,0.037,37,0,0.037,0,0,0,0,0,,0,0,0,0,38928300,54.422,1803.987,2.581,1.337,1803.99,0,597.029,9.59,0,0,37.746
ALB,Europe,Albania,9/23/2020,12666,131,142,367,3,3.857,4401.28,45.521,49.343,127.528,1.042,1.34,128,1,1.34,0,0,0,0,0,,0,0,0,0,2877800,104.871,11803.431,13.188,8.643,11803.4,1.1,304.195,10.08,7.1,51.2,0
DZA,Africa,Algeria,9/23/2020,50214,191,211.429,1689,10,8.143,1145.1,4.356,4.822,38.517,0.228,0.186,39,0,0.186,0,0,0,0,0,,0,0,0,0,43851000,17.348,13913.839,6.211,3.857,13913.8,0.5,278.364,6.73,0.7,30.4,83.741
AND,Europe,Andorra,9/23/2020,1681,0,34.714,53,0,0,21756.3,0,449.289,685.951,0,0,686,0,0,0,0,0,0,0,,0,0,0,0,77265,163.755,40886.111,0,0,0,0,109.135,7.97,29,37.8,0
AGO,Africa,Angola,9/23/2020,4236,119,113.857,155,1,3,128.886,3.621,3.464,4.716,0.03,0.091,5,0,0.091,0,0,0,0,0,,0,0,0,0,32866300,23.89,5819.495,2.405,1.362,5819.5,0,276.045,3.94,0,0,26.664
AIA,North America,Anguilla,9/23/2020,3,0,0,0,0,0,199.973,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,15002,0,19891.111,0,0,0,0,0,0,0,0,0
ATG,North America,Antigua and Barbuda,9/23/2020,96,0,0.143,3,0,0,980.312,0,1.459,30.635,0,0,31,0,0,0,0,0,0,0,,0,0,0,0,97928,231.845,21490.943,6.933,4.631,21490.9,0,191.511,13.17,0,0,0
ARG,South America,Argentina,9/23/2020,652161,12027,12389.9,13952,470,320.286,14429.7,266.109,274.137,308.701,10.399,7.087,309,10,7.087,0,0,0,0,0,,0,0,0,0,45195800,16.177,18933.907,11.198,7.441,18933.9,0.6,191.032,5.5,16.2,27.7,0
ARM,Asia,Armenia,9/23/2020,47667,115,221.143,938,2,2.571,16086.1,38.809,74.629,316.546,0.675,0.868,317,1,0.868,0,0,0,0,0,,0,0,0,0,2963230,102.931,8787.58,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043
ABW,North America,Aruba,9/23/2020,3665,78,73.286,25,1,0.429,34327.4,730.57,686.414,234.157,9.366,4.014,234,9,4.014,0,0,0,0,0,,0,0,0,0,106766,584.8,35973.781,13.085,7.452,35973.8,0,0,11.62,0,0,0
